Wodzisław Śląski,wodzisławski,śląskie,4951,47576,961
Starogard Gdański,starogardzki,pomorskie,2528,47272,1870
Puławy,puławski,lubelskie,5049,46965,930
Tarnobrzeg,Tarnobrzeg[a],podkarpackie,8540,46360,543
Kołobrzeg,kołobrzeski,zachodniopomorskie,2567,46198,1800
Krosno,Krosno[a],podkarpackie,4472,45948,1027
Radomsko,radomszczański,łódzkie,5143,45353,882
Dębica,dębicki,podkarpackie,3383,45189,1336
Otwock,otwocki,mazowieckie,4731,44317,937
Skarżysko-Kamienna,skarżyski,świętokrzyskie,6439,44260,687
Ciechanów,ciechanowski,mazowieckie,3278,43883,1339
Nysa,nyski,opolskie,2751,43356,1576
Kutno,kutnowski,łódzkie,3359,43332,1290
Sieradz,sieradzki,łódzkie,5122,41390,808
Zduńska Wola,zduńskowolski,łódzkie,2457,41288,1680
Mikołów,mikołowski,śląskie,7921,41003,518
Świnoujście,Świnoujście[a],zachodniopomorskie,20207,40948,203
Mińsk Mazowiecki,miński,mazowieckie,1318,40916,3104
Szczecinek,szczecinecki,zachodniopomorskie,4848,39827,822
Chojnice,chojnicki,pomorskie,2104,39647,1884
Żyrardów,żyrardowski,mazowieckie,1435,39550,2756
Świdnik,świdnicki,lubelskie,2035,38763,1905
Ząbki,wołomiński,mazowieckie,1098,38546,3511
Bolesławiec,bolesławiecki,dolnośląskie,2357,38486,1633
Kwidzyn,kwidzyński,pomorskie,2154,38329,1779
Nowa Sól,nowosolski,lubuskie,2180,38191,1752
Malbork,malborski,pomorskie,1716,38101,2220
Knurów,gliwicki,śląskie,3395,37801,1113
Oświęcim,oświęcimski,małopolskie,3000,37569,1252
Jarosław,jarosławski,podkarpackie,3461,37073,1071
Żary,żarski,lubuskie,3349,37052,1106
Sanok,sanocki,podkarpackie,3808,36999,972
Oleśnica,oleśnicki,dolnośląskie,2096,36979,1764
Wołomin,wołomiński,mazowieckie,1724,36848,2137
Marki,wołomiński,mazowieckie,2615,36816,1408
Chrzanów,chrzanowski,małopolskie,3832,36118,943
Sochaczew,sochaczewski,mazowieckie,2619,35891,1370
Czechowice-Dziedzice,bielski,śląskie,3291,35839,1089
Sopot,Sopot[a],pomorskie,1728,35286,2042
Brzeg,brzeski,opolskie,1461,35226,2411
Lębork,lęborski,pomorskie,1786,35101,1965
Olkusz,olkuski,małopolskie,2565,34757,1355
Jasło,jasielski,podkarpackie,3652,34542,946
Cieszyn,cieszyński,śląskie,2861,33981,1188
Kraśnik,kraśnicki,lubelskie,2610,33917,1300
Nowy Targ,nowotarski,małopolskie,5107,33257,651
Iława,iławski,warmińsko-mazurskie,2188,33206,1518
Oława,oławski,dolnośląskie,2736,33087,1209
Dzierżoniów,dzierżoniowski,dolnośląskie,2007,32869,1638
Ostróda,ostródzki,warmińsko-mazurskie,1415,32714,2312
Grodzisk Mazowiecki,grodziski,mazowieckie,1319,32452,2460
Police,policki,zachodniopomorskie,3731,32243,864
Luboń,poznański,wielkopolskie,1351,32015,2370
Pruszcz Gdański,gdański,pomorskie,1647,31578,1917
Myszków,myszkowski,śląskie,7359,31261,425
Mława,mławski,mazowieckie,3480,31129,895
Czeladź,będziński,śląskie,1638,31039,1895
Września,wrzesiński,wielkopolskie,1273,31000,2435
Żywiec,żywiecki,śląskie,5054,30733,608
Augustów,augustowski,podlaskie,8090,29946,370
Swarzędz,poznański,wielkopolskie,823,29862,3628
Zgorzelec,zgorzelecki,dolnośląskie,1588,29810,1877
Bochnia,bocheński,małopolskie,2987,29554,989
Bielawa,dzierżoniowski,dolnośląskie,3621,29523,815
Łuków,łukowski,lubelskie,3575,29441,824
Śrem,śremski,wielkopolskie,1237,29176,2359
Giżycko,giżycki,warmińsko-mazurskie,1372,28964,2111
Brodnica,brodnicki,kujawsko-pomorskie,2315,28701,1240
Krotoszyn,krotoszyński,wielkopolskie,2254,28701,1273
Nowy Dwór Mazowiecki,nowodworski,mazowieckie,2821,28691,1017
Łowicz,łowicki,łódzkie,2342,27896,1191
Czerwionka-Leszczyny,rybnicki,śląskie,3763,27888,741
Wyszków,wyszkowski,mazowieckie,2078,26980,1298
Gorlice,gorlicki,małopolskie,2353,26973,1146
Zakopane,tatrzański,małopolskie,8426,26846,319
Kętrzyn,kętrzyński,warmińsko-mazurskie,1035,26788,2588
Reda,wejherowski,pomorskie,3346,26707,798
Jarocin,jarociński,wielkopolskie,2196,26453,1205
Turek,turecki,wielkopolskie,1617,26441,1635
Kłodzko,kłodzki,dolnośląskie,2484,26421,1064
Biłgoraj,biłgorajski,lubelskie,2110,26114,1238
Pszczyna,pszczyński,śląskie,2249,25702,1143
Wągrowiec,wągrowiecki,wielkopolskie,1783,25607,1436
Świecie,świecki,kujawsko-pomorskie,1187,25486,2147
Żagań,żagański,lubuskie,4038,25265,626
Kobyłka,wołomiński,mazowieckie,1964,25149,1280
Bielsk Podlaski,bielski,podlaskie,2701,25044,927
Wałcz,wałecki,zachodniopomorskie,3817,24949,654
Skawina,krakowski,małopolskie,2050,24366,1189
Wieliczka,wielicki,małopolskie,1341,24215,1806
Białogard,białogardzki,zachodniopomorskie,2573,23950,931
Kościerzyna,kościerski,pomorskie,1586,23778,1499
Kościan,kościański,wielkopolskie,901,23716,2632
Środa Wielkopolska,średzki,wielkopolskie,2192,23672,1080
Lubliniec,lubliniecki,śląskie,8936,23551,264
Kluczbork,kluczborski,opolskie,1235,23254,1883
Sandomierz,sandomierski,świętokrzyskie,2869,22997,802
Bartoszyce,bartoszycki,warmińsko-mazurskie,1179,22984,1949
Szczytno,szczycieński,warmińsko-mazurskie,1062,22813,2148
Świebodzice,świdnicki,dolnośląskie,3043,22642,744
Piastów,pruszkowski,mazowieckie,576,22559,3916
Jawor,jaworski,dolnośląskie,1880,22462,1195
Polkowice,polkowicki,dolnośląskie,2374,22435,945
Ostrów Mazowiecka,ostrowski,mazowieckie,2227,22216,998
Łaziska Górne,mikołowski,śląskie,2011,22130,1100
Goleniów,goleniowski,zachodniopomorskie,1178,21979,1866
Płońsk,płoński,mazowieckie,1160,21924,1890
Zambrów,zambrowski,podlaskie,1902,21921,1153
Wieluń,wieluński,łódzkie,1687,21892,1298
Aleksandrów Łódzki,zgierski,łódzkie,1382,21754,1574
Grajewo,grajewski,podlaskie,1894,21709,1146
Nowa Ruda,kłodzki,dolnośląskie,3705,21643,584
Lubartów,lubartowski,lubelskie,1391,21636,1555
Świebodzin,świebodziński,lubuskie,1693,21550,1273
Rydułtowy,wodzisławski,śląskie,1495,21385,1430
Mrągowo,mrągowski,warmińsko-mazurskie,1481,21302,1438
Orzesze,mikołowski,śląskie,8371,21290,254
Koło,kolski,wielkopolskie,1385,21247,1534
Działdowo,działdowski,warmińsko-mazurskie,1147,21145,1844
Gryfino,gryfiński,zachodniopomorskie,1181,20923,1772
Opoczno,opoczyński,łódzkie,2699,20746,769
Józefów,otwocki,mazowieckie,2391,20741,867
Lubań,lubański,dolnośląskie,1612,20723,1286
Prudnik,prudnicki,opolskie,2050,20671,1008
Hajnówka,hajnowski,podlaskie,2129,20265,952
Gostyń,gostyński,wielkopolskie,1109,20250,1826
Rawicz,rawicki,wielkopolskie,887,20187,2276
